frame_id,proc_us,push_wait_us,ring_after_samples
624,1330.400000,17192.200000,14880
625,1589.400000,2.200000,15360
626,1743.900000,16654.400000,14880
627,2437.800000,1.800000,15360
628,1071.700000,16539.300000,14880
629,1294.800000,1.600000,15360
630,1336.000000,16470.400000,14880
631,1771.000000,2.500000,15360
632,1393.400000,16918.000000,14880
633,1500.500000,1.700000,15360
634,1242.900000,17385.000000,14880
635,1922.100000,2.000000,15360
636,1360.800000,16808.600000,14880
637,1374.200000,1.800000,15360
638,1232.500000,17552.000000,14880
639,2659.800000,2.600000,15360
640,2082.900000,15291.800000,14880
641,2450.800000,2.100000,15360
642,1570.100000,16016.200000,14880
643,1406.900000,1.600000,15360
644,1171.400000,17449.000000,14880
645,1906.800000,2.500000,15360
646,2520.200000,15606.600000,14880
647,1477.700000,1.700000,15360
648,1115.300000,17466.800000,14880
649,1551.300000,1.600000,15360
650,1535.500000,16900.700000,14880
651,2384.000000,2.000000,15360
652,1437.100000,16190.500000,14880
653,2674.700000,1.800000,15360
654,1081.600000,16248.200000,14880
655,1558.800000,2.500000,15360
656,1240.500000,17224.600000,14880
657,2201.000000,1.800000,15360
658,1055.300000,16877.200000,14880
659,1445.100000,1.500000,15360
660,1395.300000,17070.200000,14880
661,1912.900000,2.600000,15360
662,1793.200000,16448.600000,14880
663,1920.300000,1.500000,15360
664,1377.000000,16596.300000,14880
665,1498.000000,1.500000,15360
666,1359.100000,17172.900000,14880
667,2176.500000,2.900000,15360
668,1733.800000,16134.300000,14880
669,1332.000000,1.600000,15360
670,1296.400000,16477.200000,14880
671,1678.700000,2.300000,15360
672,1380.200000,16979.500000,14880
673,3646.600000,4.600000,15360
674,3332.800000,13089.000000,14880
675,2887.100000,2.000000,15360
676,1211.300000,15955.700000,14880
677,2489.500000,2.200000,15360
678,1491.500000,16074.500000,14880
679,2388.200000,2.900000,15360
680,747.600000,16856.200000,14880
681,740.700000,2.100000,15360
682,474.700000,18866.900000,14880
683,591.700000,1.600000,15360
684,376.300000,19135.900000,14880
685,884.800000,2.200000,15360
686,475.600000,18691.400000,14880
687,747.900000,2.100000,15360
688,376.300000,18954.000000,14880
689,756.200000,1.600000,15360
690,405.800000,18857.300000,14880
691,549.800000,1.300000,15360
692,356.100000,19159.800000,14880
693,746.500000,2.000000,15360
694,411.400000,19004.800000,14880
695,875.800000,1.500000,15360
696,361.200000,18793.300000,14880
697,817.800000,1.900000,15360
698,344.800000,18906.300000,14880
699,478.300000,1.200000,15360
700,330.300000,18214.200000,14880
701,862.000000,2.200000,15360
702,394.100000,18859.000000,14880
703,578.300000,1.900000,15360
704,450.600000,18922.600000,14880
705,800.800000,2.000000,15360
706,432.900000,18819.700000,14880
707,851.200000,2.000000,15360
708,416.300000,18755.900000,14880
709,568.500000,1.700000,15360
710,424.700000,18991.400000,14880
711,904.000000,1.700000,15360
712,465.700000,18665.200000,14880
713,518.800000,1.400000,15360
714,344.700000,19180.900000,14880
715,884.600000,2.100000,15360
