tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0.522625,0.47664803,3.4766481,0.5109821,1.510982,0.51220286,-0.48779714,0.49459329,-2.5054066,0.38383931,-4.6161609
0.52725,0.10110993,3.10111,0.11267669,1.1126767,0.12287009,-0.87712991,0.13019468,-2.8698053,0.010590144,-4.9894099
0.531875,-0.14371465,2.8562853,0.049837768,1.0498378,-0.15171069,-1.1517107,-0.060397394,-3.0603974,-0.046724815,-5.0467248
0.5365,0.15058146,3.1505814,0.095128186,1.0951282,0.15937097,-0.84062904,0.13083559,-2.8691645,0.078586809,-4.9214134
0.541125,0.015900476,3.0159004,0.2132678,1.2132678,0.053377986,-0.94662201,0.081425093,-2.9185748,0.077640712,-4.9223595
0.54575,-0.23423445,2.7657657,-0.17524095,0.82475907,-0.210399,-1.210399,-0.20072442,-3.2007244,-0.081425093,-5.0814252
0.550375,0.47814348,3.4781435,0.39366648,1.3936665,0.48980179,-0.51019824,0.43947572,-2.5605242,0.38026857,-4.6197314
0.555,-0.33702296,2.662977,-0.35438833,0.64561164,-0.26655424,-1.2665542,-0.31321803,-3.3132181,-0.1710293,-5.1710291
0.559625,-0.053988367,2.9460115,-0.10590144,0.89409858,-0.13559659,-1.1355966,-0.11884156,-3.1188416,0.012940118,-4.9870601
0.56425,-0.078678362,2.9213216,0.23392926,1.2339293,0.086430222,-0.91356981,0.10126253,-2.8987374,0.098393731,-4.9016061
0.568875,-0.29856884,2.7014313,-0.2349364,0.76506358,-0.32460165,-1.3246017,-0.31092906,-3.3109291,-0.18100907,-5.1810093
0.5735,0.25694069,3.2569406,0.28007421,1.2800742,0.25620821,-0.74379182,0.25398034,-2.7460196,0.18985961,-4.8101406
0.578125,0.13742772,3.1374278,0.24021621,1.2402163,0.18277916,-0.81722081,0.19211802,-2.8078821,0.00033571062,-4.9996643
0.58275,-0.028169174,2.9718308,-0.069186904,0.93081307,0.0036622977,-0.99633771,-0.0053103315,-3.0053103,0.21445803,-4.785542
0.587375,0.18827263,3.1882727,0.17417279,1.1741728,0.19867964,-0.80132037,0.21006329,-2.7899368,0.013153752,-4.9868464
0.592,-0.21949372,2.7805064,-0.18836418,0.81163585,-0.23298317,-1.2329831,-0.21860865,-3.2186086,0.19260633,-4.8073936
0.596625,-0.24097919,2.7590208,-0.3047947,0.69520533,-0.21912749,-1.2191275,-0.23835455,-3.2383544,-0.33574113,-5.335741
0.60125,0.19513942,3.1951394,0.2809898,1.2809898,0.20267765,-0.79732233,0.20978862,-2.7902114,0.091587961,-4.908412
0.605875,0.0045473529,3.0045474,-0.1429822,0.85701782,-0.015625803,-1.0156258,-0.046694297,-3.0466943,-0.072177783,-5.0721779
0.6105,0.33870149,3.3387015,0.28535402,1.285354,0.33363533,-0.66636467,0.2756184,-2.7243817,0.2573069,-4.7426929
0.615125,-0.0026856849,2.9973142,-0.070316114,0.92968386,-0.094395727,-1.0943958,-0.093235992,-3.093236,-0.24140646,-5.2414064
0.61975,0.10712221,3.1071222,-0.102819,0.89718097,0.022828322,-0.97717166,-0.025300374,-3.0253003,0.21027693,-4.7897229
0.624375,-0.62005746,2.3799424,-0.30543566,0.69456434,-0.32881328,-1.3288133,-0.28233263,-3.2823327,-0.47231433,-5.4723144
0.629,-0.52111447,2.4788857,-0.47005588,0.52994412,-0.57839888,-1.5783989,-0.51113468,-3.5111346,-0.28645271,-5.2864528
0.633625,-0.6315937,2.3684063,-0.52477676,0.47522324,-0.63022041,-1.6302204,-0.57205087,-3.5720508,-0.59796166,-5.5979614
0.63825,-0.36485642,2.6351435,-0.12189347,0.87810653,-0.28892475,-1.2889247,-0.22358328,-3.2235832,-0.19513942,-5.1951394
0.642875,-0.33558854,2.6644115,-0.56905997,0.43094003,-0.42116421,-1.4211643,-0.42522326,-3.4252234,-0.32277051,-5.3227706
0.6475,0.15326716,3.1532671,-0.093083397,0.90691662,0.034852866,-0.96514714,-0.0084232846,-3.0084233,-0.051180609,-5.0511808
0.652125,-0.37865105,2.6213489,-0.17704158,0.82295841,-0.28312615,-1.2831261,-0.28602543,-3.2860255,-0.17276889,-5.1727691
0.65675,0.12088634,3.1208863,0.01611411,1.0161141,0.05877988,-0.9412201,0.018433563,-2.9815664,-0.11817013,-5.1181703
0.661375,-0.14862823,2.8513718,-0.032533415,0.96746659,-0.080814697,-1.0808147,-0.064517476,-3.0645175,-0.18226035,-5.1822605
0.666,-0.095219739,2.9047801,0.11850585,1.1185058,-0.068454444,-1.0684545,-0.029023709,-3.0290236,-0.068210289,-5.0682101
0.670625,-0.023377666,2.9766223,0.089268506,1.0892684,0.011719353,-0.98828065,0.03656194,-2.963438,-0.2425967,-5.2425966
0.67525,-0.17814025,2.8218598,-0.24845637,0.75154364,-0.2188528,-1.2188528,-0.23597404,-3.2359741,-0.040010605,-5.0400105
0.679875,-0.15973721,2.8402629,-0.24036878,0.75963122,-0.11191371,-1.1119137,-0.15705155,-3.1570516,0.0023804933,-4.9976196
0.6845,0.083836094,3.0838361,0.058718838,1.0587188,0.027497752,-0.97250223,0.031343166,-2.9686568,0.0087284762,-4.9912715
0.689125,-0.075473852,2.9245262,-0.25529265,0.74470735,-0.09448728,-1.0944873,-0.12250385,-3.1225038,0.029145787,-4.9708543
0.69375,0.096898288,3.0968983,0.065829799,1.0658298,0.056918208,-0.9430818,0.059664931,-2.940335,-0.0026551657,-5.002655
0.698375,0.074314117,3.0743141,0.11917727,1.1191772,0.12583044,-0.87416959,0.13257518,-2.8674247,0.035341173,-4.9646587
0.703,-0.051180609,2.9488194,-0.17105982,0.82894015,-0.10944166,-1.1094416,-0.12818043,-3.1281805,0.054690313,-4.9453096
0.707625,0.32554772,3.3255477,0.37303555,1.3730356,0.2660659,-0.7339341,0.30690056,-2.6930995,0.11441629,-4.8855839
0.71225,-0.0067447312,2.9932554,0.054140966,1.0541409,0.037202839,-0.96279716,0.040407348,-2.9595926,0.076908253,-4.9230919
0.716875,0.035859998,3.0358601,0.20014457,1.2001445,0.13501672,-0.86498326,0.17817079,-2.8218293,0.084934786,-4.9150653
0.7215,0.27616775,3.2761679,0.18805899,1.188059,0.18479343,-0.81520659,0.18625835,-2.8137417,0.19767252,-4.8023276
