split,candidate_id,family,snr_target_db,n_conditions,snr_improvement_mean_db,snr_improvement_std_db,snr_improvement_min_db,snr_degradation_fraction,si_sdr_improvement_mean_db,processing_mean_ms,rtf_mean
final,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,5,18,4.465674769336797,0.8637245019083318,2.963350235581813,0.0,4.247975950034007,12.571055555566899,0.004190351851855633
final,stft_subtraction_default_initial,stft_subtraction_default,5,18,0.8308241721203761,2.7967957334100073,-1.8522810742890474,0.6666666666666666,-0.0272454778661742,12.517961111118186,0.004172653703706061
final,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,5,18,2.944024167045957,0.757099229040152,1.9871876711833707,0.0,2.6002257147998122,6.964383333310151,0.002321461111103384
final,stft_wiener_default_initial,stft_wiener_default,5,18,0.8716687547545929,1.7838264543699045,-1.4929258285282998,0.4444444444444444,-0.2759540564060718,7.007194444478652,0.002335731481492884
final,wavelet_sym4_l3_hard_global_s0.5,wavelet,5,18,0.024327543333125937,0.021941346538462952,-0.003284121215155089,0.05555555555555555,0.013997070111062104,1.8524555555611895,0.0006174851851870631
final,wavelet_default_db4_l5_soft,wavelet_default,5,18,0.27415148777543874,0.25870881000543083,-0.10012304740948164,0.2222222222222222,-0.27754226588304737,2.0201999999724447,0.0006733999999908149
final,noisy,baseline,10,18,0.0,0.0,0.0,0.0,0.0,0.022477777772817516,7.492592590939171e-06
final,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,10,18,3.4202054624780756,1.2010795412250377,1.0599185623927845,0.0,3.8710885887364515,12.875727777782231,0.004291909259260744
final,stft_subtraction_default_initial,stft_subtraction_default,10,18,-2.4501054254930086,4.626566348633321,-6.2913042446716165,0.6666666666666666,-2.338132106944313,12.345044444449135,0.004115014814816378
final,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,10,18,2.881232104286016,0.6847491699645449,2.1762545388519747,0.0,2.730937243469242,6.802683333325553,0.0022675611111085178
final,stft_wiener_default_initial,stft_wiener_default,10,18,-1.8657862003726795,3.6308455140424183,-5.190364378248587,0.6666666666666666,-2.22922038176153,6.982511111105952,0.0023275037037019837
final,wavelet_sym4_l3_hard_global_s0.5,wavelet,10,18,0.01630457761013313,0.023677621054975728,-0.01385060840493857,0.3333333333333333,0.010868970717014155,1.6443833333015492,0.000548127777767183
final,wavelet_default_db4_l5_soft,wavelet_default,10,18,0.044891967846948155,0.31798105319773523,-0.46400183706807674,0.4444444444444444,-0.2671176251670193,1.8330777777717029,0.0006110259259239009
validation,noisy,baseline,-5,18,0.0,0.0,0.0,0.0,0.0,0.021211111124507118,7.070370374835706e-06
validation,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,-5,18,5.31210209306059,1.5044138410855386,2.4197287471959905,0.0,2.8350715184089115,12.352127777780375,0.004117375925926791
validation,stft_subtraction_default_initial,stft_subtraction_default,-5,18,6.641028601795401,2.312294002977777,2.3227851627586995,0.0,2.6738891977332995,12.04789444443577,0.004015964814811923
validation,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,-5,18,1.8608534786330726,0.6291893637335719,0.7246535285027944,0.0,0.6182082953428352,6.947033333277533,0.0023156777777591773
validation,stft_wiener_default_initial,stft_wiener_default,-5,18,4.775156824692293,2.1370981391500075,1.2288957763224264,0.0,1.275648594476823,6.605588888899344,0.002201862962966448
validation,wavelet_sym4_l3_hard_global_s0.5,wavelet,-5,18,0.195804175835605,0.20215574676602385,-0.0009433201004274139,0.3333333333333333,0.03383741257124183,1.713666666660174,0.000571222222220058
validation,wavelet_default_db4_l5_soft,wavelet_default,-5,18,0.0336952095045247,0.06592855805388653,-0.020950231898429372,0.5555555555555556,-2.510017007247765,1.9142499999892,0.0006380833333297334
validation,noisy,baseline,0,18,0.0,0.0,0.0,0.0,0.0,0.02229444447089514,7.4314814902983795e-06
validation,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,0,18,5.374886697368135,1.5635393855455422,2.3654921957173864,0.0,4.149133908983,15.127661111111795,0.005042553703703931
validation,stft_subtraction_default_initial,stft_subtraction_default,0,18,3.571230398240777,1.802610937250882,0.27097779192689475,0.0,1.067004812808332,11.784850000001118,0.0039282833333337056
validation,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,0,18,2.1403560814732945,0.711423256440497,0.8258785576900739,0.0,1.4499968685479074,7.101550000015777,0.0023671833333385925
validation,stft_wiener_default_initial,stft_wiener_default,0,18,3.0584102199940184,1.7948874187945205,-0.04866239573560897,0.05555555555555555,0.4236674353069674,6.636883333334885,0.002212294444444962
validation,wavelet_sym4_l3_hard_global_s0.5,wavelet,0,18,0.16853512647797844,0.17693193606253377,-0.003905390920783391,0.5,0.07485307404521285,1.5891333332799857,0.0005297111110933285
validation,wavelet_default_db4_l5_soft,wavelet_default,0,18,-0.14329101600569524,0.1293542305187836,-0.35599496905965416,1.0,-1.6548145550120406,1.904161111105572,0.000634720370368524
validation,noisy,baseline,5,18,0.0,0.0,0.0,0.0,0.0,0.024511111089648492,8.170370363216163e-06
validation,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,5,18,4.879246082852823,1.5775562008320065,1.976174429429567,0.0,4.698958984939534,12.698144444433032,0.004232714814811011
validation,stft_subtraction_default_initial,stft_subtraction_default,5,18,-0.4530420699171829,1.7059610212415974,-3.171909892428947,0.5,-1.779466802374487,12.70593333332373,0.00423531111110791
validation,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,5,18,2.4072675221014173,0.8000948905065036,0.8923157664828709,0.0,2.027181291136028,6.765172222268727,0.0022550574074229088
validation,stft_wiener_default_initial,stft_wiener_default,5,18,0.11987222105194527,1.7151036198960519,-2.6303286527480725,0.5,-1.4726679005787107,6.635294444474009,0.0022117648148246693
validation,wavelet_sym4_l3_hard_global_s0.5,wavelet,5,18,0.12552696269179847,0.13918018904925736,-0.012534738935465306,0.5,0.07544919002341682,1.8301833333427768,0.000610061111114259
validation,wavelet_default_db4_l5_soft,wavelet_default,5,18,-0.4111221116480684,0.33061103162812483,-0.8781674790134524,1.0,-1.2652783477409917,2.0843166666963953,0.0006947722222321318
validation,noisy,baseline,10,18,0.0,0.0,0.0,0.0,0.0,0.023411111113899905,7.803703704633301e-06
validation,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,10,18,3.451283011609789,1.9256006561677812,0.2160510721057296,0.0,4.173744717085042,12.267366666669155,0.004089122222223051
validation,stft_subtraction_default_initial,stft_subtraction_default,10,18,-5.054694231512545,1.7718695643286368,-7.560089144382279,1.0,-5.678629194304884,13.120800000024246,0.004373600000008082
validation,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,10,18,2.5290600816127644,0.8737383432498071,0.761783653038929,0.0,2.3731761364312787,7.059483333339106,0.0023531611111130353
validation,stft_wiener_default_initial,stft_wiener_default,10,18,-3.8736568200541677,1.8775965899775457,-6.478885796175552,1.0,-4.644373437534358,7.21366666661854,0.0024045555555395133
validation,wavelet_sym4_l3_hard_global_s0.5,wavelet,10,18,0.05890995367015398,0.09386840848833682,-0.039604374427097966,0.5,0.0327477780974582,1.507477777813114,0.0005024925926043714
validation,wavelet_default_db4_l5_soft,wavelet_default,10,18,-0.8605694617549882,0.6019048629152325,-1.7912942069908997,1.0,-1.3061812854557682,1.8450166666702392,0.0006150055555567464
