split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,-4.999999673230314,4.427897278328747,9.427896951559061,-5.016830452245448,2.5113011114845616,7.5281315637300095,11.454499999899781,0.0038181666666332603
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,-4.999999673230314,1.8344269770306085,6.834426650260923,-5.016830452245448,-0.20583947025318705,4.810990981992261,7.8622000000905246,0.0026207333333635083
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,-4.999999673230314,-5.002011350106913,-0.002011676876598756,-5.016830452245448,-10.523315136532442,-5.506484684286995,1.7187000000831176,0.0005729000000277059
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,-4.999999673230314,0.8175225340930026,5.817522207323316,-5.016830452245448,-2.7032040168550173,2.3136264353904306,12.644499999851178,0.0042148333332837256
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,-4.999999673230314,-2.812193218926753,2.187806454303561,-5.016830452245448,-4.802054729471214,0.21477572277423373,9.424399999943489,0.0031414666666478297
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,-4.999999673230314,-4.60995283828248,0.3900468349478343,-5.016830452245448,-4.935998137104701,0.08083231514074729,1.2292999999772292,0.0004097666666590764
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,noisy,baseline,noisy,8.926049463128595e-08,8.926049463128595e-08,0.0,-0.009415215336876831,-0.009415215336876831,0.0,0.02380000000812288,7.93333333604096e-06
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,8.926049463128595e-08,5.939706332291479,5.939706243030984,-0.009415215336876831,5.390153811837792,5.399569027174669,10.539299999891227,0.0035130999999637424
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,stft_wiener_default_initial,stft_wiener_default,stft_wiener,8.926049463128595e-08,5.350773194857514,5.350773105597019,-0.009415215336876831,3.9221634352421253,3.9315786505790022,5.182999999988169,0.0017276666666627232
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,8.926049463128595e-08,-0.35599487979915956,-0.35599496905965416,-0.009415215336876831,-3.408360168099462,-3.398944952762585,1.962000000048647,0.0006540000000162157
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,8.926049463128595e-08,5.541810014640881,5.541809925380386,-0.009415215336876831,4.134996316341847,4.144411531678724,11.772399999927075,0.003924133333309025
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,8.926049463128595e-08,2.6627970504287357,2.662796961168241,-0.009415215336876831,1.5870347300921308,1.5964499454290075,7.102099999883649,0.0023673666666278828
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,0,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,8.926049463128595e-08,0.34504726130445795,0.34504717204396335,-0.009415215336876831,0.1718687129811319,0.18128392831800874,1.4856000000236236,0.0004952000000078746
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,noisy,baseline,noisy,5.000000245111636,5.000000245111636,0.0,4.994752183499897,4.994752183499897,0.0,0.022900000203662785,7.633333401220929e-06
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,5.000000245111636,6.591150096765121,1.5911498516534852,4.994752183499897,6.874938614816706,1.880186431316809,9.159399999816742,0.0030531333332722474
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,stft_wiener_default_initial,stft_wiener_default,stft_wiener,5.000000245111636,7.531797563099538,2.531797317987902,4.994752183499897,6.849643046038992,1.8548908625390945,5.5981999998948595,0.00186606666663162
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,5.000000245111636,4.211069214989296,-0.78893103012234,4.994752183499897,2.686889325608216,-2.3078628578916813,1.9816999999875407,0.0006605666666625135
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,5.000000245111636,9.414170236576238,4.414169991464602,4.994752183499897,9.701568522443097,4.7068163389432,11.069099999986065,0.003689699999995355
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,5.000000245111636,8.050621621814397,3.050621376702761,4.994752183499897,7.4956136656998265,2.5008614821999293,5.6450000001859735,0.001881666666728658
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,5.000000245111636,5.28724494510784,0.2872446999962044,4.994752183499897,5.2057318928651695,0.21097970936527233,1.581199999918681,0.0005270666666395604
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,noisy,baseline,noisy,9.999999961421718,9.999999961421718,0.0,9.997094439174093,9.997094439174093,0.0,0.024400000029345392,8.133333343115131e-06
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,9.999999961421718,6.839881230778001,-3.160118730643717,9.997094439174093,7.4770943527764775,-2.5200000863976157,12.90770000014163,0.004302566666713877
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,stft_wiener_default_initial,stft_wiener_default,stft_wiener,9.999999961421718,8.538027208756805,-1.461972752664913,9.997094439174093,8.407709216890451,-1.5893852222836422,7.114700000101948,0.0023715666667006494
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,9.999999961421718,8.656846463322216,-1.3431534980995021,9.997094439174093,8.021484258633238,-1.9756101805408548,1.6233000001193432,0.0005411000000397811
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,9.999999961421718,11.883714205093469,1.8837142436717507,9.997094439174093,13.114146857054276,3.117052417880183,12.017100000093706,0.0040057000000312355
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,9.999999961421718,12.98846765465858,2.9884676932368617,9.997094439174093,12.775589501952238,2.778495062778145,8.823099999972328,0.002941033333324109
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,10,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,9.999999961421718,10.206661686183221,0.2066617247615028,9.997094439174093,10.168943451451879,0.17184901227778582,1.614800000197647,0.000538266666732549
validation,jackson,dkitchen_ch01_seg03,DKITCHEN,-5,noisy,baseline,noisy,-4.999999601441752,-4.999999601441752,0.0,-4.996033177208246,-4.996033177208246,0.0,0.02029999996011611,6.766666653372037e-06
