amostra,ruido,grupo_ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_jackson,pcafeter_ch01_seg01,PCAFETER,10,10.000000108640545,noisy,10.000000108640545,0.0,0.002517931152330737,10.007607415410884,3.619999915827066e-05,3.0,1.2066666386090219e-05,0.0,187.5
speech_jackson,pcafeter_ch01_seg01,PCAFETER,10,10.000000108640545,stft_subtraction,11.880039907136277,1.8800397984957318,0.0016332018810583122,11.753397523474993,0.007435999999870546,3.0,0.0024786666666235155,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg01,PCAFETER,10,10.000000108640545,stft_wiener,11.399322377544081,1.3993222689035356,0.0018243645489364087,11.243898678149124,0.004935700002533849,3.0,0.0016452333341779497,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg01,PCAFETER,10,10.000000108640545,wavelet_soft,10.29776402063316,0.29776391199261454,0.0023510802868109996,9.997104361890228,0.0011879000012413599,3.0,0.0003959666670804533,32.0,375.25
speech_jackson,pcafeter_ch01_seg02,PCAFETER,-5,-5.000000304303123,noisy,-5.000000304303123,0.0,0.07962398188850728,-4.9042795238146395,9.399998816661537e-06,3.0,3.133332938887179e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg02,PCAFETER,-5,-5.000000304303123,stft_subtraction,0.8514460582605022,5.8514463625636255,0.02069661190811851,-2.959804926965224,0.010325700000976212,3.0,0.003441900000325404,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,-5,-5.000000304303123,stft_wiener,-1.242649579552535,3.757350724750588,0.03352037124282798,-3.2771023349125636,0.004805600001418497,3.0,0.0016018666671394992,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,-5,-5.000000304303123,wavelet_soft,-4.3075281690255345,0.6924721352775887,0.06788857281678809,-5.472735252343788,0.0011167999982717447,3.0,0.00037226666609058157,32.0,375.25
speech_jackson,pcafeter_ch01_seg02,PCAFETER,0,-8.781340638916829e-08,noisy,-8.781340638916829e-08,0.0,0.025179312661172966,0.05430270827863194,8.600000001024455e-06,3.0,2.8666666670081518e-06,0.0,187.5
speech_jackson,pcafeter_ch01_seg02,PCAFETER,0,-8.781340638916829e-08,stft_subtraction,4.789654087435833,4.78965417524924,0.008357539794336242,3.067348949306681,0.007714899998973124,3.0,0.0025716333329910412,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,0,-8.781340638916829e-08,stft_wiener,3.3628365608395763,3.3628366486529826,0.01160807501131003,2.399469259934457,0.0046861000009812415,3.0,0.0015620333336604137,32.0,1788.9609375
speech_jackson,pcafeter_ch01_seg02,PCAFETER,0,-8.781340638916829e-08,wavelet_soft,0.564919330353699,0.5649194181671054,0.02210812588483976,-0.2584981333307137,0.0010975999975926243,3.0,0.0003658666658642081,32.0,375.25
speech_jackson,pcafeter_ch01_seg02,PCAFETER,5,5.0000000010994,noisy,5.0000000010994,0.0,0.007962397631582142,5.0309247057107065,7.499998901039362e-06,3.0,2.499999633679787e-06,0.0,187.5
