block_id,write_us,write_interval_ms,source_ring_before_samples,source_ring_after_samples,driver_depth_before,driver_depth_after
370,1.000000,20.031100,15360,14400,1,2
371,1.000000,20.048800,15360,14400,1,2
372,0.700000,20.037700,15360,14400,1,2
373,0.900000,20.190200,15360,14400,1,2
374,0.900000,20.156400,15360,14400,1,2
375,0.900000,20.056100,15360,14400,1,2
376,1.900000,20.047500,15360,14400,1,2
377,1.200000,20.069100,15360,14400,1,2
378,0.800000,19.043000,15360,14400,1,2
379,1.200000,20.051300,15360,14400,1,2
380,1.300000,20.030000,15360,14400,1,2
381,1.200000,20.038000,15360,14400,1,2
382,1.000000,20.036000,15360,14400,1,2
383,1.200000,20.033300,15360,14400,1,2
384,1.000000,20.036100,15360,14400,1,2
385,0.900000,20.028000,15360,14400,1,2
386,1.000000,20.023400,15360,14400,1,2
387,0.900000,20.019700,15360,14400,1,2
388,1.000000,20.037700,15360,14400,1,2
389,0.700000,20.021100,15360,14400,1,2
390,1.100000,20.025700,15360,14400,1,2
391,0.800000,20.022300,15360,14400,1,2
392,1.100000,20.051600,15360,14400,1,2
393,1.000000,20.033500,15360,14400,1,2
394,0.800000,20.026200,15360,14400,1,2
395,1.000000,20.034200,15360,14400,1,2
396,1.100000,20.026400,15360,14400,1,2
397,0.800000,20.037500,15360,14400,1,2
398,1.000000,20.026700,15360,14400,1,2
399,1.000000,20.028700,15360,14400,1,2
400,0.900000,20.041400,15360,14400,1,2
401,0.700000,20.040900,15360,14400,1,2
402,1.200000,20.030500,15360,14400,1,2
403,0.900000,20.077700,15360,14400,1,2
404,0.900000,20.031700,15360,14400,1,2
405,1.200000,19.162600,15360,14400,1,2
406,1.100000,20.022100,15360,14400,1,2
407,1.200000,20.029900,15360,14400,1,2
408,0.700000,20.031500,15360,14400,1,2
409,1.000000,20.191500,15360,14400,1,2
410,0.800000,20.023700,15360,14400,1,2
411,0.800000,20.019800,15360,14400,1,2
412,0.800000,20.099200,15360,14400,1,2
413,1.000000,20.017300,15360,14400,1,2
414,1.000000,20.060400,15360,14400,1,2
415,1.000000,20.032200,15360,14400,1,2
416,1.300000,20.079600,15360,14400,1,2
417,1.200000,20.065500,15360,14400,1,2
418,0.800000,20.024900,15360,14400,1,2
419,0.900000,20.027900,15360,14400,1,2
