split,speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,block_count,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,processing_ms,rtf,state_memory_bytes,speech_block_fraction,warming_blocks
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,subtraction_adaptive_causal,stft_subtraction,causal_blocks,4.999999650816238,8.799277876595864,3.7992782257796263,4.989251383679722,8.203810099500133,3.214558715820411,150,1.8455886666864292,2.822799999967174,3.916992999766076,6.897399999616027,276.8383000029644,0.09227943333432147,60900,0.42,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wiener_initial_legacy,stft_wiener,offline_file,4.999999650816238,5.658246586964256,0.6582469361480179,4.989251383679722,4.3141228774117115,-0.6751285062680106,1,6.2138000002960325,6.2138000002960325,6.2138000002960325,6.2138000002960325,6.2138000002960325,0.0020712666667653443,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wiener_low_energy_offline,stft_wiener,offline_file,4.999999650816238,7.204043416112643,2.2040437652964053,4.989251383679722,6.644992480009156,1.6557410963294341,1,5.027999999583699,5.027999999583699,5.027999999583699,5.027999999583699,5.027999999583699,0.001675999999861233,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wiener_adaptive_causal,stft_wiener,causal_blocks,4.999999650816238,6.593900706091755,1.5939010552755173,4.989251383679722,6.337475818750499,1.3482244350707768,150,1.774062666639414,3.279789999942291,5.463465000120776,7.021599999461614,266.1093999959121,0.0887031333319707,60900,0.42,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,bypass,baseline,causal_blocks,9.999999906933843,9.999999906933843,0.0,9.993968339155076,9.993968339155076,0.0,150,0.028670000028796494,0.033669999857011114,0.044442000207709456,0.06550000034621917,4.300500004319474,0.0014335000014398247,57952,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,subtraction_initial_legacy,stft_subtraction,offline_file,9.999999906933843,6.5653364413984665,-3.434663465535376,9.993968339155076,6.690836115251614,-3.3031322239034626,1,7.660500000383763,7.660500000383763,7.660500000383763,7.660500000383763,7.660500000383763,0.002553500000127921,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,subtraction_low_energy_offline,stft_subtraction,offline_file,9.999999906933843,11.646468518396155,1.6464686114623124,9.993968339155076,12.54954376609968,2.5555754269446034,1,6.476699999439006,6.476699999439006,6.476699999439006,6.476699999439006,6.476699999439006,0.002158899999813002,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,subtraction_calibration_causal,stft_subtraction,causal_blocks,9.999999906933843,4.8070182290993175,-5.192981677834525,9.993968339155076,4.108465483694873,-5.885502855460203,150,0.5468426666872498,0.8761900003719347,1.2097419998190142,1.4068000000406755,82.02640000308747,0.02734213333436249,60900,0.0,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,subtraction_adaptive_causal,stft_subtraction,causal_blocks,9.999999906933843,11.361861593055899,1.3618616861220563,9.993968339155076,11.441150806786961,1.447182467631885,150,1.2553633333239607,1.8001400001594443,2.022722999754478,2.14129999949364,188.3044999985941,0.06276816666619804,60900,0.5133333333333333,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wiener_initial_legacy,stft_wiener,offline_file,9.999999906933843,7.701088788713037,-2.298911118220806,9.993968339155076,7.0901092873763325,-2.9038590517787437,1,4.856600000493927,4.856600000493927,4.856600000493927,4.856600000493927,4.856600000493927,0.001618866666831309,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wiener_low_energy_offline,stft_wiener,offline_file,9.999999906933843,12.088328622394666,2.0883287154608237,9.993968339155076,11.811646228361,1.8176778892059247,1,5.137400000421621,5.137400000421621,5.137400000421621,5.137400000421621,5.137400000421621,0.001712466666807207,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wiener_adaptive_causal,stft_wiener,causal_blocks,9.999999906933843,11.203641396088669,1.2036414891548262,9.993968339155076,10.991995901013743,0.9980275618586667,150,1.2872193333229613,1.7594400002053583,2.0958319998317156,3.0566999994334765,193.0828999984442,0.06436096666614806,60900,0.5133333333333333,13
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,bypass,baseline,causal_blocks,-4.999999673230314,-4.999999673230314,0.0,-5.016830452245448,-5.016830452245448,0.0,150,0.023688666684999287,0.04496500000641386,0.07571200040729299,0.0915000000532018,3.553300002749893,0.0011844333342499642,57952,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,subtraction_initial_legacy,stft_subtraction,offline_file,-4.999999673230314,4.427897278328747,9.427896951559061,-5.016830452245448,2.5113011114845616,7.5281315637300095,1,7.694399999309098,7.694399999309098,7.694399999309098,7.694399999309098,7.694399999309098,0.0025647999997696993,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,subtraction_low_energy_offline,stft_subtraction,offline_file,-4.999999673230314,0.8175225340930026,5.817522207323316,-5.016830452245448,-2.7032040168550173,2.3136264353904306,1,7.5694000006478745,7.5694000006478745,7.5694000006478745,7.5694000006478745,7.5694000006478745,0.0025231333335492914,0,0.0,0
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,subtraction_calibration_causal,stft_subtraction,causal_blocks,-4.999999673230314,1.5240768613979183,6.524076534628232,-5.016830452245448,-2.446100137543307,2.570730314702141,150,0.5630159999964235,0.8536150001418719,1.1739320005835905,3.7498000001505716,84.45239999946352,0.028150799999821174,60900,0.0,13
